Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Baringo,Maize,2000,Annual,20500.0,47997.0,2.341317073170732,23413.170731707316,24.904749999999996,448.51506,35.538899215562914
Baringo,Maize,2000,Long,2550.0,1170.0,0.4588235294117647,4588.235294117647,24.95515,243.4279,37.612575167652174
Baringo,Maize,2001,Annual,19650.0,27614.0,1.40529262086514,14052.926208651399,25.095758333333333,622.51956,36.49218395881947
Baringo,Maize,2001,Long,10400.0,22446.0,2.1582692307692306,21582.69230769231,24.650216666666665,320.875,36.016645947834725
Baringo,Maize,2002,Annual,18151.6665084,26385.07671354,1.4535897682634178,14535.897682634177,25.478066666666667,780.8529000000001,36.35910845023987
Baringo,Maize,2003,Annual,23996.0,31926.0,1.330471745290882,13304.717452908819,25.45435833333333,616.82425,37.679789747595414
Baringo,Maize,2004,Annual,13795.0,54904.1,3.98,39800.0,25.31244166666667,552.587,39.803184711890005
Baringo,Maize,2005,Annual,20550.0,46242.0,2.2502189781021897,22502.189781021898,25.32981666666667,434.6067,42.55405448502748
Baringo,Maize,2012,Annual,29117.0,55805.04,1.9165793179242367,19165.793179242366,25.24515,756.213,40.5032753025225
Baringo,Maize,2013,Annual,34960.0,34959.96,0.9999988558352404,9999.988558352403,25.182175,769.6913999999999,42.23567837600988
Baringo,Maize,2014,Annual,44159.0,83313.0,1.88665957109536,18866.5957109536,25.41145,614.6785,40.95838237137309
Baringo,Maize,2015,Annual,33163.0,72495.0,2.1860205650875977,21860.205650875978,25.537633333333332,771.9757,45.51497419470735
Baringo,Maize,2015,Long,38301.0,87802.0,2.2924205634317643,22924.20563431764,25.183083333333332,395.9493,44.917374342742214
Baringo,Maize,2016,Annual,33308.0,49840.5,1.4963522276930468,14963.522276930467,25.756608333333332,715.2022,42.91713742763328
Baringo,Maize,2016,Long,36480.0,83200.77,2.280722861842105,22807.228618421053,25.4447,362.85080000000005,42.78230073444171
Baringo,Maize,2017,Annual,37658.0,58475.6,1.552806840511976,15528.068405119762,25.118588141025644,657.6096580769231,42.54509025800952
Baringo,Maize,2017,Long,34597.0,49882.05,1.44180275746452,14418.0275746452,24.90115897435897,347.44985384615387,43.07600397294739
Baringo,Maize,2018,Annual,45171.0,70810.3,1.5676053219986277,15676.053219986274,25.118588141025644,657.6096580769231,44.013911042568985
Baringo,Maize,2018,Long,45122.0,77739.03,1.7228631266344576,17228.631266344575,24.90115897435897,347.44985384615387,43.60642051619644
Baringo,Maize,2019,Annual,47437.0,68374.39,1.4413725572865064,14413.725572865063,25.118588141025644,657.6096580769231,42.746377898030694
Baringo,Maize,2019,Long,34355.0,74206.8,2.16,21600.0,24.90115897435897,347.44985384615387,44.14615150946776
Baringo,Maize,2020,Annual,34708.8,59169.0,1.7047261789517354,17047.261789517353,25.118588141025644,657.6096580769231,43.20127772444138
Baringo,Maize,2020,Long,47617.0,110002.05,2.310142386122603,23101.423861226034,24.90115897435897,347.44985384615387,43.88541209679833
Baringo,Maize,2021,Long,31083.0,32962.05,1.0604526590097485,10604.526590097481,24.90115897435897,347.44985384615387,44.93355669562975
Baringo,Rice,2012,Annual,900.0,3820.0,4.2444444444444445,42444.444444444445,25.24515,756.213,39.92167627367027
Baringo,Rice,2013,Annual,40.0,89.9,2.2475,22475.0,25.182175,769.6913999999999,42.55469194948182
Baringo,Rice,2014,Annual,301.0,843.0,2.8006644518272426,28006.644518272424,25.41145,614.6785,41.728840060739365
Baringo,Rice,2015,Annual,300.0,563.0,1.8766666666666667,18766.666666666668,25.537633333333332,771.9757,43.53405411127058
Baringo,Rice,2016,Annual,6.0,30.0,5.0,50000.0,25.756608333333332,715.2022,44.59662477726766
Baringo,Rice,2017,Annual,10.0,46.1,4.61,46100.0,25.118588141025644,657.6096580769231,41.94336754593887
Baringo,Sorghum,2012,Annual,948.0,821.97,0.8670569620253165,8670.569620253165,25.24515,756.213,40.52905756376566
Baringo,Sorghum,2013,Annual,849.0,763.0,0.8987043580683156,8987.043580683157,25.182175,769.6913999999999,40.01158333297087
Baringo,Sorghum,2014,Annual,1162.0,924.0,0.7951807228915663,7951.807228915663,25.41145,614.6785,41.14968369663946
Baringo,Sorghum,2015,Annual,1017.0,2821.0,2.7738446411012783,27738.44641101278,25.537633333333332,771.9757,45.42357692729617
Baringo,Sorghum,2015,Long,1112.0,834.0,0.75,7500.0,25.183083333333332,395.9493,45.4963775851736
Baringo,Sorghum,2016,Annual,1149.8,1082.09,0.9411114976517656,9411.114976517656,25.756608333333332,715.2022,45.551015116570454
Baringo,Sorghum,2016,Long,950.0,598.5,0.63,6300.0,25.4447,362.85080000000005,43.324883095756405
