Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1963,Oranges,1323,2000.0,6000.0,30000.0
1963,Papayas,1317,2900.0,30000.0,103448.0
1963,Pineapples,1318,1100.0,30000.0,272727.0
1963,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1963,Pomelos and grapefruits,1321,400.0,3100.0,77500.0
1963,Potatoes,1510,27500.0,195000.0,70909.0
1963,"Pyrethrum, dried flowers",1930.02,28000.0,8511.0,3040.0
1963,Rice,113,5326.0,13000.0,24409.0
1963,"Seed cotton, unginned",1921.01,47267.0,8858.0,1874.0
1963,Sesame seed,1444,3910.0,1524.0,3898.0
1963,Sorghum,114,170000.0,186000.0,10941.0
1963,Sugar cane,1802,18453.0,592500.0,321086.0
1963,Sunflower seed,1445,3035.0,3455.0,11384.0
1963,Sweet potatoes,1530,26000.0,160000.0,61538.0
1963,Tea leaves,1620,21448.0,18082.0,8431.0
1963,Tomatoes,1234,2200.0,34000.0,154545.0
1963,Unmanufactured tobacco,1970,400.0,508.0,12700.0
1963,Wheat,111,98600.0,110400.0,11197.0
1964,Apricots,1343,2.0,10.0,50000.0
1964,Avocados,1311,1100.0,16000.0,145455.0
1964,Bananas,1312,40000.0,400000.0,100000.0
1964,Barley,115,11001.0,19508.0,17733.0
1964,"Beans, dry",1701,115000.0,55000.0,4783.0
1964,"Beer of barley, malted",24310.01,,48455.0,
1964,"Cashew nuts, in shell",1372,26000.0,9400.0,3615.0
1964,"Cassava, fresh",1520.01,58000.0,450000.0,77586.0
1964,Castor oil seeds,1447,13000.0,4200.0,3231.0
1964,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3300.0,2600.0,7879.0
1964,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1964,"Coffee, green",1610,81826.0,41400.0,5060.0
1964,"Cotton lint, ginned",1921.02,,3149.0,
1964,Cotton seed,143,,6401.0,
1964,Cottonseed oil,2168,,851.68,
1964,Dates,1314,200.0,600.0,30000.0
1964,Green garlic,1252,7.0,100.0,142857.0
1964,"Groundnuts, excluding shelled",142,6100.0,3658.0,5997.0
1964,Linseed,1441,240.0,240.0,10000.0
1964,Maize (corn),112,1050000.0,1230000.0,11714.0
1964,"Mangoes, guavas and mangosteens",1316,150.0,500.0,33333.0
1964,Millet,118,75000.0,130000.0,17333.0
1964,Oats,117,6677.0,1000.0,1498.0
1964,"Onions and shallots, dry (excluding dehydrated)",1253.02,158.0,784.0,49620.0
1964,Oranges,1323,2000.0,6500.0,32500.0
1964,Papayas,1317,2900.0,30000.0,103448.0
1964,Pineapples,1318,1300.0,36000.0,276923.0
1964,Plantains and cooking bananas,1313,1000.0,100000.0,1000000.0
1964,Pomelos and grapefruits,1321,500.0,3200.0,64000.0
1964,Potatoes,1510,27000.0,190000.0,70370.0
1964,"Pyrethrum, dried flowers",1930.02,15000.0,5269.0,3513.0
1964,Rice,113,5358.0,13200.0,24636.0
