Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Bungoma,Maize,2003,Annual,72257.0,195135.64356436,2.700577709624812,27005.77709624812,25.45435833333333,616.82425,40.61258689571047
Bungoma,Maize,2004,Annual,82356.0,245188.11881188,2.977173719120404,29771.737191204043,25.31244166666667,552.587,40.59944390034257
Bungoma,Maize,2005,Annual,82742.0,264076.14761476,3.1915610888636965,31915.610888636966,25.32981666666667,434.6067,40.682983671489346
Bungoma,Maize,2012,Annual,92705.0,221586.03,2.3902273879510276,23902.273879510278,25.24515,756.213,41.12253059791882
Bungoma,Maize,2013,Annual,98074.0,267302.43,2.7255177722943897,27255.177722943896,25.182175,769.6913999999999,40.252690914109294
Bungoma,Maize,2014,Annual,97397.0,260266.0,2.6722178301179706,26722.178301179705,25.41145,614.6785,41.201000352945194
Bungoma,Maize,2015,Annual,100712.0,301068.0,2.9893955040114384,29893.955040114382,25.537633333333332,771.9757,42.55817777265374
Bungoma,Maize,2015,Long,94505.0,269162.0,2.8481244378604305,28481.244378604304,25.183083333333332,395.9493,41.99942920119039
Bungoma,Maize,2016,Annual,95323.0,290154.0,3.0439033601544225,30439.033601544226,25.756608333333332,715.2022,46.08702006524056
Bungoma,Maize,2016,Long,90160.0,271796.04,3.0145967169476484,30145.967169476484,25.4447,362.85080000000005,45.54979124070741
Bungoma,Maize,2017,Annual,93484.0,295481.1,3.1607665482863374,31607.665482863373,25.118588141025644,657.6096580769231,44.5222108611586
Bungoma,Maize,2017,Long,91826.0,364407.12,3.968452508004269,39684.52508004269,24.90115897435897,347.44985384615387,45.56813943566258
Bungoma,Maize,2018,Annual,94635.0,315710.75,3.3360886564167593,33360.886564167595,25.118588141025644,657.6096580769231,45.238496246496794
Bungoma,Maize,2018,Long,94423.0,359348.85,3.805734302023871,38057.34302023871,24.90115897435897,347.44985384615387,42.52909642114911
Bungoma,Maize,2019,Annual,87960.0,317912.33,3.6142829695316054,36142.82969531605,25.118588141025644,657.6096580769231,45.37165333545105
Bungoma,Maize,2019,Long,100195.0,429417.54,4.285818054793153,42858.18054793153,24.90115897435897,347.44985384615387,43.829585762498965
Bungoma,Maize,2020,Annual,93214.0,269443.0,2.8905851052417018,28905.851052417016,25.118588141025644,657.6096580769231,46.194809728441584
Bungoma,Maize,2020,Long,91525.0,312417.0,3.4134608030592735,34134.60803059273,24.90115897435897,347.44985384615387,46.59211717847016
Bungoma,Maize,2021,Long,90750.0,243590.4,2.68419173553719,26841.9173553719,24.90115897435897,347.44985384615387,44.71332217360338
Bungoma,Maize,2022,Long,90750.0,285862.5,3.15,31500.0,24.90115897435897,347.44985384615387,44.534234103294885
Bungoma,Rice,2012,Annual,135.0,146.0,1.0814814814814815,10814.814814814816,25.24515,756.213,39.006905233279596
Bungoma,Rice,2013,Annual,115.0,92.5,0.8043478260869565,8043.478260869565,25.182175,769.6913999999999,41.07319266875007
Bungoma,Rice,2014,Annual,135.0,211.0,1.5629629629629629,15629.62962962963,25.41145,614.6785,44.38899674167387
Bungoma,Rice,2015,Annual,195.0,265.0,1.358974358974359,13589.74358974359,25.537633333333332,771.9757,45.040348178150815
Bungoma,Rice,2016,Annual,176.0,179.0,1.0170454545454546,10170.454545454546,25.756608333333332,715.2022,42.00956808183811
Bungoma,Rice,2017,Annual,104.0,343.0,3.298076923076923,32980.76923076923,25.118588141025644,657.6096580769231,43.983306398581334
Bungoma,Rice,2018,Annual,124.0,369.6,2.980645161290323,29806.451612903227,25.118588141025644,657.6096580769231,43.54260860521609
Bungoma,Rice,2019,Annual,113.0,299.0,2.646017699115044,26460.17699115044,25.118588141025644,657.6096580769231,42.44460919881728
Bungoma,Rice,2020,Annual,113.5,315.8,2.782378854625551,27823.78854625551,25.118588141025644,657.6096580769231,43.113308791277774
Bungoma,Sorghum,2012,Annual,1472.0,1594.08,1.0829347826086957,10829.347826086956,25.24515,756.213,39.446698225334764
Bungoma,Sorghum,2013,Annual,1565.0,1595.0,1.0191693290734825,10191.693290734824,25.182175,769.6913999999999,43.20731188016187
Bungoma,Sorghum,2014,Annual,2065.0,2046.0,0.9907990314769975,9907.990314769975,25.41145,614.6785,42.2602732051126
Bungoma,Sorghum,2015,Annual,429.0,321.0,0.7482517482517482,7482.517482517483,25.537633333333332,771.9757,43.55386083067966
Bungoma,Sorghum,2015,Long,1816.0,1780.0,0.9801762114537445,9801.762114537445,25.183083333333332,395.9493,44.354741461917094
Bungoma,Sorghum,2016,Annual,1402.0,1367.52,0.9754065620542083,9754.065620542084,25.756608333333332,715.2022,43.58566379907021
Bungoma,Sorghum,2016,Long,1670.0,1503.0,0.9,9000.0,25.4447,362.85080000000005,46.27298384405129
Bungoma,Sorghum,2017,Annual,466.0,778.3,1.6701716738197423,16701.71673819742,25.118588141025644,657.6096580769231,45.96789941286023
Bungoma,Sorghum,2018,Annual,531.5,799.5,1.504233301975541,15042.33301975541,25.118588141025644,657.6096580769231,42.81541216508856
Bungoma,Sorghum,2019,Annual,599.02,915.65,1.528580014022904,15285.80014022904,25.118588141025644,657.6096580769231,43.64581366183357
Bungoma,Sorghum,2020,Annual,510.4,764.56,1.4979623824451411,14979.623824451412,25.118588141025644,657.6096580769231,43.924553708591425
Bungoma,Sugarcane,2014,Annual,45598.0,39287.0,0.8615948067897715,8615.948067897714,25.41145,614.6785,42.095234662507025
Bungoma,Sugarcane,2015,Annual,39287.0,36375.2,0.9258838801639219,9258.838801639218,25.537633333333332,771.9757,41.45892079644305
Bungoma,Sugarcane,2016,Annual,36375.2,40113.0,1.102756823330181,11027.56823330181,25.756608333333332,715.2022,44.67240660675561
Bungoma,Sugarcane,2017,Annual,40113.0,37305.0,0.9299977563383441,9299.977563383442,25.118588141025644,657.6096580769231,43.94785753627592
Bungoma,Sugarcane,2018,Annual,37305.0,38688.0,1.0370727784479292,10370.727784479292,25.118588141025644,657.6096580769231,41.935975098205496
Bungoma,Sugarcane,2019,Annual,38688.0,39430.0,1.0191790736145574,10191.790736145575,25.118588141025644,657.6096580769231,42.69144467014743
Bungoma,Sugarcane,2020,Annual,39430.0,38533.03333333333,0.9772516696254967,9772.516696254967,25.118588141025644,657.6096580769231,46.64667996780682
Bungoma,Wheat,2000,Annual,175.0,472.54725473,2.7002700270285716,27002.700270285717,24.904749999999996,448.51506,35.053106703723074
Bungoma,Wheat,2005,Annual,650.0,1579.6579658,2.4302430243076922,24302.430243076924,25.32981666666667,434.6067,39.593132136445085
Bungoma,Wheat,2012,Annual,350.0,783.0,2.237142857142857,22371.428571428572,25.24515,756.213,40.055533948547755
Bungoma,Wheat,2013,Annual,305.0,699.03,2.291901639344262,22919.01639344262,25.182175,769.6913999999999,43.38415080495969
Bungoma,Wheat,2014,Annual,30.0,93.0,3.1,31000.0,25.41145,614.6785,41.91116891328348
Bungoma,Wheat,2015,Annual,30.0,90.0,3.0,30000.0,25.537633333333332,771.9757,44.22048455838801
Bungoma,Wheat,2016,Annual,173.0,519.0,3.0,30000.0,25.756608333333332,715.2022,45.344312450639286
Bungoma,Wheat,2017,Annual,100.0,300.0,3.0,30000.0,25.118588141025644,657.6096580769231,42.78336898839409
Bungoma,Wheat,2018,Annual,157.0,290.3,1.8490445859872613,18490.445859872612,25.118588141025644,657.6096580769231,44.90720623110968
